cutoff,trial_number,base_dim,n_layers,latent_dim,activation,strategy,dropout_rate,epochs,learning_rate,loss,permanova,n_clusters,noise_ratio,beta_kl,weight_decay,grad_clip_norm,csm,kl_warmup_ratio,norm
0.07,171,512,3,43,leaky_relu,halve,0.1,150,0.00039118280593797056,0.6990729570388794,0.019722537913837747,15,0.7015503875968992,0.03986089555483728,9.306066698397556e-07,0.6347345403736016,leaf,0.3989398381104554,batchnorm
0.07,172,512,3,38,leaky_relu,halve,0.1,150,0.00048750525221468436,0.7133790850639343,0.0060994350152321864,16,0.6967054263565892,0.025114178414636635,7.090460374330941e-05,0.5490672930965765,leaf,0.36267948372697095,batchnorm
0.07,173,512,3,35,leaky_relu,halve,0.1,150,0.00034378682186836146,0.7060654759407043,0.014732178978773498,9,0.876937984496124,0.060235567868413276,0.00010023112057051544,0.5649518238049462,leaf,0.3858610498944913,batchnorm
0.07,174,512,3,36,leaky_relu,halve,0.1,150,0.0003431974315845103,0.7380251884460449,0.0704057926190094,8,0.9079457364341085,0.0923846160835965,8.187677686085074e-05,0.6077120037111855,leaf,0.41006268852089806,batchnorm
0.07,175,512,3,32,leaky_relu,halve,0.1,150,0.00036906539220572945,0.6831783056259155,0.03723552128614693,13,0.8585271317829457,0.06421994565652911,6.898626783780343e-05,0.5547553700921822,leaf,0.38427552481805166,batchnorm
0.07,176,512,3,36,leaky_relu,halve,0.1,150,0.00032122361600875804,0.7532504796981812,0.029493093527601356,8,0.9224806201550387,0.05517328965258782,0.00014569975571031751,0.5848056390986844,leaf,0.3695512793216812,batchnorm
0.07,178,512,3,34,leaky_relu,halve,0.1,150,0.00041205685354464355,0.7632847428321838,0.016524773737853455,13,0.8178294573643411,0.037080183769537985,0.00019750700063032696,0.6531082727021497,leaf,0.3979343966323348,batchnorm
0.07,179,512,3,42,leaky_relu,constant,0.1,100,0.0003001255316758072,0.603836715221405,0.31897251426386514,7,0.26744186046511625,0.025975126619116023,0.00010925591323502774,0.544842634377554,eom,0.32957737708387697,batchnorm
0.07,181,512,3,34,leaky_relu,halve,0.1,150,0.00040898254407697744,0.6568744778633118,0.03402232485376668,9,0.8682170542635659,0.04185115705015109,0.00030681234129627645,0.6500996919132688,leaf,0.3937611445555916,batchnorm
0.07,182,512,3,38,leaky_relu,halve,0.1,150,0.00037319893362149174,0.6837993860244751,0.028868157223980534,10,0.7461240310077519,0.03265195752264677,0.00017276315347666019,0.7144139824744583,leaf,0.36668356467596913,batchnorm
0.07,184,512,3,13,leaky_relu,halve,0.1,150,0.000526747377807091,1.0258972644805908,0.012746586623347217,17,0.8304263565891473,0.04749974761528285,0.0002371021568254483,0.5347112391756763,leaf,0.4020988466933406,batchnorm
0.07,185,512,3,11,leaky_relu,halve,0.1,150,0.0004978841398515456,0.6999065279960632,0.030996234667188236,21,0.7906976744186046,0.05628327216877599,5.576033647562109e-05,0.5268821293770036,leaf,0.2035701708092905,batchnorm
